,brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,graphics_coprocessor,rating,price,wifi & bluetooth,backlit keyboard,anti-glare,fingerprint,hd audio
3493,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
3494,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
3495,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
3496,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,716.83,1,0,0,0,0
3497,Dell,Latitude3520,15.6,Black,4000.0,Intel Core i7,64.0,Windows 11,Integrated,Unknown,,2126.99,1,0,0,0,0
3498,Dell,Latitude3520,15.6,Black,256.0,Intel Core i7,32.0,Windows 11,Integrated,Unknown,,1605.99,1,0,0,0,0
3499,Dell,Latitude3520,15.6,Black,4000.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,1180.17,1,0,0,0,0
3501,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,658.99,1,0,0,0,0
3502,Dell,Latitude3520,15.6,Black,4000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,1324.31,1,0,0,0,0
3503,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,700.58,1,0,0,0,0
3505,Dell,Latitude7320,13.3,Black,1000.0,Intel Core i7,16.0,Windows 11,Integrated,Unknown,,834.99,1,0,0,0,0
3507,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
3508,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
3509,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
3510,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
3511,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
3512,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
3513,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,613.99,1,0,0,0,0
3515,Dell,Latitude3520,15.6,Black,2000.0,Intel Core i5,32.0,Windows 11,Integrated,Unknown,,1032.65,1,0,0,0,0
3516,Dell,Latitude5520,15.6,Black,256.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,878.37,1,0,0,0,0
3517,Dell,Latitude5420,14.0,Black,1000.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,840.99,1,0,0,0,0
3518,Dell,Latitude3420,14.0,Black,512.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,801.99,1,0,0,0,0
3519,Dell,Latitude7420,14.0,Black,2000.0,Intel Core i7,16.0,Windows 10,Integrated,Unknown,,886.99,1,0,0,0,0
3520,Dell,Latitude5420,14.0,Black,256.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,1122.99,1,0,0,0,0
3521,Dell,Latitude5420,14.0,Black,512.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,1179.99,1,0,0,0,0
3522,Dell,Latitude3520,15.6,Black,8000.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,1925.66,1,0,0,0,0
3523,Dell,Inspiron3511,15.6,Black,256.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,614.4,1,0,0,0,0
3524,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
3525,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
3526,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
3527,Dell,Latitude5420,14.0,Black,256.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,765.75,1,0,0,0,0
3528,Dell,Latitude5320,13.3,Black,256.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,739.99,1,0,0,0,0
3529,Dell,Latitude5320,13.3,Black,512.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,900.89,1,0,0,0,0
